title;type;url_slug;venue;date;location;description
Active mechanical and electrohydraulic properties of tissues;Seminar;seminar-9;Laboratoire Matière et Systèmes Complexes;2021-12-13;Université de Paris, Paris, France;
Active mechanical and electrohydraulic properties of tissues;Seminar;seminar-10;Laboratoire Physico-Chimie Curie;2022-01-28;Institut Curie, Paris, France;
Active mechanical and electrohydraulic properties of tissues;Seminar;seminar-11;Laboratoire Physique et Mécanique des Milieux Hétérogènes;2022-02-16;ESPCI, Paris, France;
Active mechanical and electrohydraulic properties of tissues;Seminar;seminar-12;Laboratoire Jean Perrin ;2022-02-22;Sorbonne Université, Paris, France ;
Renormalization group approach to the collective dynamics of chemotactic cells;Seminar;seminar-13;Laboratoire de Physique Théorique de la Matière Condensée;2022-10-10;Sorbonne Université, Paris, France ;
Hysteresis, phase transitions and dangerous transients in power distribution systems;Poster;poster-1;Optimization and Control of Smart Grids;2012-05-21;Santa Fe, New Mexico, USA;
Langevin equations for reaction-diffusion processes;Poster;poster-2;Beg Rohu summer school;2016-08-01;Beg Rohu, France;
Langevin equations for reaction-diffusion processes;Poster;poster-3;42nd Conference of the Middle European Cooperation in Statistical Physics;2017-02-09;École Normale Supérieure de Lyon, Lyon, France;
Fluid pumping and active flexoelectricity can promote lumen nucleation in cell assemblies;Poster;poster-4;Les Houches summer school;2018-08-01;Les Houches, France;
Fluid pumping and active flexoelectricity can promote lumen nucleation in cell assemblies;Poster;poster-5;Key Challenges in Statistical Physics (MECO 44);2019-05-01;Kloster Seeon, Munich, Germany;
Fluid pumping and active flexoelectricity can promote lumen nucleation in cell assemblies;Poster;poster-6;Mechanical Forces in Development;2019-07-03;EMBL, Heidelberg, Germany;
Fluid pumping and active flexoelectricity can promote lumen nucleation in cell assemblies;Poster;poster-7;Fluid Physics of Life;2019-10-21;Max Planck Institute for the Physics of Complex Systems, Dresden, Germany;
Fluid pumping and active flexoelectricity can promote lumen nucleation in cell assemblies;Poster;poster-8;Organoids : Modelling Organ Development and Disease in 3D Culture;2020-10-21;online conference;
Hydraulic and electric control of cell spheroids;Poster;poster-9;EMBO Workshop Physics of living systems: From molecules to tissues;2021-06-07;online conference;
Hydraulic and electric control of cell spheroids;Poster;poster-10;Physics Meets Biology;2021-07-26;online conference;
Electrohydraulics of cells and tissues;Poster;poster-11;Institute Scientific Evaluation;2022-04-05;Max Planck Institute for the Physics of Complex Systems, Dresden, Germany;
Electrohydraulics of cells and tissues;Poster;poster-12;Engineering Life – Active Matter Across Scales;2022-06-28;Steigenberger Hotel de Saxe Dresden, Germany;
Stochastic dynamics of chemotactic colonies with logistic growth;Poster;poster-13;New Perspectives in Active Systems;2023-04-25;Max Planck Institute for the Physics of Complex Systems, Dresden, Germany;
